taxon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Philereme vetulata,2,0,2,1,2,3,1,1,0,0,1,2,0,0,3
Phlogophora meticulosa,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Photedes fluxa,1,2,0,0,0,0,0,0,2,0,1,1,0,0,2
Plagodis dolabraria,7,22,6,12,8,2,7,1,1,8,14,7,16,18,3
Plagodis pulveraria,5,2,1,1,0,1,2,1,6,3,2,2,4,0,1
Poecilocampa populi,1,2,0,2,0,5,1,3,11,2,0,1,0,1,0
Polia bombycina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Polia nebulosa,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0
Polyploca ridens,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Pseudoips prasinana,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Pseudopanthera macularia,0,0,0,4,8,0,0,6,14,2,0,1,2,0,0
Ptilodon capucina,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ptilodon cucullina,2,0,0,2,1,0,0,2,0,1,1,0,0,0,0
Ptilophora plumigera,1,4,1,0,1,11,8,1,0,5,0,0,0,0,0
Pyrrhia umbra,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rhodostrophia vibicaria,0,0,0,0,1,2,0,3,3,0,0,2,0,0,4
Rivula sericealis,0,1,0,0,8,0,0,11,7,0,1,23,3,0,23
Rusina ferruginea,3,0,7,2,3,3,2,4,2,6,6,4,2,4,1
Sabra harpagula,0,5,4,1,2,0,1,2,7,1,3,1,3,0,1
Scopula floslactata,0,2,0,0,1,0,0,3,4,0,1,1,2,0,1
Scopula nigropunctata,0,0,2,1,2,2,3,3,6,2,2,7,2,0,2
Scopula ornata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Scopula rubiginata,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Selenia dentaria,0,1,0,3,1,0,1,2,2,1,0,0,0,1,0
Selenia lunularia,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Selenia tetralunaria,2,1,0,1,0,1,0,1,0,1,0,0,0,0,0
Sideridis rivularis,0,0,0,0,2,1,0,1,0,0,0,0,0,0,3
Siona lineata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Smerinthus ocellata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Spatalia argentina,2,0,0,1,2,2,0,0,1,2,0,0,3,0,0
Sphinx pinastri,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stauropus fagi,2,1,0,2,1,2,0,1,4,0,1,0,2,1,0
Tethea or,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thalpophila matura,0,0,0,0,7,0,0,0,2,0,0,4,0,0,6
Thera obeliscata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thera variata,2,0,2,0,0,0,1,0,0,1,1,0,0,0,0
Theria rupicapraria,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tholera cespitis,2,2,3,0,12,0,0,4,7,0,0,6,0,2,3
Tholera decimalis,3,9,4,7,17,2,5,33,21,5,8,35,17,4,14
Thyatira batis,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0
Tiliacea citrago,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Timandra comae,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Trachea atriplicis,1,3,0,1,2,1,0,0,1,0,0,1,1,0,0
Trichopteryx polycommata,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0
Trisateles emortualis,2,0,1,1,5,4,0,3,1,5,4,0,3,0,0
Tyta luctuosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Valeria oleagina,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Watsonalla binaria,0,3,3,1,1,1,2,2,2,1,9,0,8,1,0
Xanthorhoe biriviata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Xanthorhoe designata,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
Xanthorhoe fluctuata,1,1,0,1,1,0,0,2,4,0,0,2,1,0,0
Xanthorhoe quadrifasiata,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Xanthorhoe spadicearia,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0
Xestia baja,0,1,0,0,2,0,0,0,4,0,0,1,1,0,0
Xestia c-nigrum,1,1,1,1,8,0,0,2,2,0,0,3,0,1,9
Xestia ditrapezium,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0
Xestia stigmatica,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0
Xestia triangulum,1,1,6,2,2,1,1,3,1,3,0,2,3,0,1
Xestia xanthographa,2,2,0,5,14,2,3,0,0,0,5,2,0,2,20
